day,month,hour,x,y,type,pressure
06,01,0000,186,139,H,1020
06,01,0000,419,178,H,1025
06,01,0000,430,485,H,1023
13,01,0000,558,134,L,1004
13,01,0000,375,109,L,994
13,01,0000,772,147,L,1007
13,01,0000,2,195,L,1001
13,01,0000,255,530,L,993
13,01,0000,490,90,H,1018
13,01,0000,536,268,H,1032
13,01,0000,498,410,H,1028
20,01,0000,632,73,L,1005
20,01,0000,336,61,L,991
20,01,0000,254,112,L,990
20,01,0000,166,153,L,981
20,01,0000,454,188,L,1003
20,01,0000,649,186,L,1016
20,01,0000,197,249,L,963
20,01,0000,77,299,L,984
20,01,0000,633,264,L,1008
20,01,0000,169,283,L,964
20,01,0000,632,339,L,1008
20,01,0000,545,408,L,1008
20,01,0000,786,57,H,1026
20,01,0000,542,266,H,1032
27,01,0000,775,109,L,1005
27,01,0000,235,68,L,968
27,01,0000,608,79,L,1012
27,01,0000,490,156,L,1003
27,01,0000,287,145,L,961
27,01,0000,213,219,L,961
27,01,0000,186,440,L,1001
27,01,0000,476,304,H,1037
27,01,0000,35,427,H,1027
27,01,0000,545,509,H,1032
07,01,0000,336,44,L,1008
07,01,0000,98,96,L,995
07,01,0000,340,133,L,1015
07,01,0000,383,201,L,1018
07,01,0000,617,306,L,992
07,01,0000,131,388,L,958
07,01,0000,772,57,H,1032
07,01,0000,421,175,H,1033
07,01,0000,380,309,H,1028
07,01,0000,454,408,H,1027
14,01,0000,788,46,L,1007
14,01,0000,353,143,L,995
14,01,0000,482,134,L,989
14,01,0000,790,150,L,1009
14,01,0000,89,200,L,1017
14,01,0000,318,487,L,994
14,01,0000,706,27,H,1025
14,01,0000,270,135,H,1044
14,01,0000,657,246,H,1021
14,01,0000,528,298,H,1023
14,01,0000,670,427,H,1028
14,01,0000,492,424,H,1024
21,01,0000,568,128,L,1017
21,01,0000,240,60,L,978
21,01,0000,725,157,L,1015
21,01,0000,278,175,L,966
21,01,0000,336,194,L,967
21,01,0000,737,260,L,1010
21,01,0000,204,281,L,966
21,01,0000,243,285,L,966
21,01,0000,162,411,L,968
21,01,0000,782,60,H,1025
21,01,0000,65,92,H,988
21,01,0000,559,254,H,1038
21,01,0000,490,392,H,1034
28,01,0000,374,36,L,973
28,01,0000,693,83,L,1019
28,01,0000,282,128,L,970
28,01,0000,783,156,L,1018
28,01,0000,208,224,L,967
28,01,0000,627,427,L,1028
28,01,0000,44,474,L,1005
28,01,0000,745,96,H,1025
28,01,0000,553,260,H,1041
28,01,0000,545,512,H,1030
28,01,0000,150,515,H,1021
04,01,0000,350,244,L,982
04,01,0000,475,213,L,985
04,01,0000,37,188,L,985
04,01,0000,234,238,L,993
04,01,0000,37,477,L,995
04,01,0000,528,530,L,1025
04,01,0000,250,97,H,1021
04,01,0000,484,43,H,1022
04,01,0000,786,69,H,1022
04,01,0000,9,295,H,1014
04,01,0000,777,395,H,1025
04,01,0000,240,511,H,1024
11,01,0000,515,41,L,990
11,01,0000,145,79,L,999
11,01,0000,777,156,L,1011
11,01,0000,170,246,L,999
11,01,0000,616,361,L,1016
11,01,0000,542,405,L,1017
11,01,0000,250,530,L,985
11,01,0000,89,150,H,1016
11,01,0000,602,224,H,1032
11,01,0000,349,217,H,1045
11,01,0000,777,361,H,1025
11,01,0000,93,419,H,1027
18,01,0000,126,108,L,1010
18,01,0000,388,149,L,983
18,01,0000,532,194,L,987
18,01,0000,224,211,L,1007
18,01,0000,468,331,L,986
18,01,0000,49,324,L,973
18,01,0000,214,360,L,1010
18,01,0000,712,57,H,1029
18,01,0000,247,279,H,1017
18,01,0000,786,411,H,1022
18,01,0000,164,527,H,1027
18,01,0000,531,501,H,1019
25,01,0000,272,94,L,984
25,01,0000,498,118,L,987
25,01,0000,132,160,L,987
25,01,0000,183,246,L,973
25,01,0000,242,269,L,975
25,01,0000,342,334,L,1009
25,01,0000,748,37,H,1029
25,01,0000,216,103,H,988
25,01,0000,397,65,H,1009
25,01,0000,150,181,H,993
25,01,0000,480,413,H,1038
25,01,0000,14,449,H,1037
02,01,0000,92,183,L,990
02,01,0000,580,138,L,1001
02,01,0000,22,216,L,987
02,01,0000,263,234,L,978
02,01,0000,628,269,L,1014
02,01,0000,365,285,L,974
02,01,0000,240,331,L,970
02,01,0000,15,455,L,1012
02,01,0000,665,530,L,1018
02,01,0000,755,38,H,1029
02,01,0000,424,55,H,1032
02,01,0000,167,201,H,1014
02,01,0000,542,498,H,1026
09,01,0000,680,56,L,1008
09,01,0000,383,59,L,1005
09,01,0000,673,296,L,1006
09,01,0000,180,395,L,971
09,01,0000,349,390,L,1015
09,01,0000,420,436,L,1015
09,01,0000,539,410,L,1019
09,01,0000,139,444,L,969
09,01,0000,254,114,H,1026
09,01,0000,785,65,H,1023
09,01,0000,413,173,H,1044
09,01,0000,627,488,H,1024
16,01,0000,509,123,L,979
16,01,0000,372,126,L,992
16,01,0000,443,217,L,998
16,01,0000,14,175,L,1000
16,01,0000,322,260,L,1007
16,01,0000,102,311,L,1001
16,01,0000,611,274,L,1003
16,01,0000,556,309,L,1003
16,01,0000,323,457,L,995
16,01,0000,753,52,H,1030
16,01,0000,424,175,H,1006
16,01,0000,391,320,H,1015
16,01,0000,773,422,H,1024
23,01,0000,395,132,L,966
23,01,0000,244,163,L,976
23,01,0000,422,99,L,967
23,01,0000,106,149,L,978
23,01,0000,120,238,L,979
23,01,0000,210,361,L,969
23,01,0000,642,25,H,1041
23,01,0000,661,246,H,1033
23,01,0000,613,405,H,1037
23,01,0000,488,416,H,1039
30,01,0000,34,113,L,994
30,01,0000,246,179,L,974
30,01,0000,784,210,L,1013
30,01,0000,417,281,L,1017
30,01,0000,196,219,L,970
30,01,0000,65,414,L,993
30,01,0000,246,472,L,1011
30,01,0000,293,483,L,1011
30,01,0000,421,175,H,1027
30,01,0000,624,186,H,1043
30,01,0000,368,373,H,1031
03,01,0000,610,13,L,1001
03,01,0000,30,202,L,987
03,01,0000,449,241,L,971
03,01,0000,76,216,L,986
03,01,0000,242,249,L,983
03,01,0000,359,254,L,972
03,01,0000,199,472,L,1012
03,01,0000,482,24,H,1028
03,01,0000,772,90,H,1022
03,01,0000,161,201,H,1008
03,01,0000,619,460,H,1026
10,01,0000,327,44,L,1008
10,01,0000,561,50,L,1004
10,01,0000,144,273,L,974
10,01,0000,758,207,L,1011
10,01,0000,205,364,L,980
10,01,0000,416,402,L,1016
10,01,0000,544,444,L,1018
10,01,0000,254,137,H,1030
10,01,0000,561,197,H,1038
10,01,0000,356,211,H,1043
10,01,0000,679,405,H,1025
10,01,0000,391,509,H,1022
17,01,0000,488,42,L,988
17,01,0000,392,163,L,982
17,01,0000,165,146,L,1015
17,01,0000,434,213,L,982
17,01,0000,744,219,L,1014
17,01,0000,68,230,L,1001
17,01,0000,136,306,L,1001
17,01,0000,396,377,L,983
17,01,0000,356,422,L,983
17,01,0000,134,91,H,1015
17,01,0000,782,66,H,1025
17,01,0000,709,455,H,1023
17,01,0000,60,520,H,1031
24,01,0000,794,83,L,1010
24,01,0000,338,198,L,963
24,01,0000,211,216,L,973
24,01,0000,653,23,H,1037
24,01,0000,490,410,H,1041
31,01,0000,780,189,L,1013
31,01,0000,158,135,L,991
31,01,0000,230,205,L,968
31,01,0000,108,205,L,974
31,01,0000,709,60,H,1038
31,01,0000,619,194,H,1040
31,01,0000,156,219,H,998
31,01,0000,556,260,H,1040
31,01,0000,230,530,H,1025
05,01,0600,115,78,L,999
05,01,0600,587,125,L,1001
05,01,0600,22,166,L,995
05,01,0600,431,141,L,990
05,01,0600,237,213,L,1000
05,01,0600,459,273,L,989
05,01,0600,536,333,L,1004
05,01,0600,137,404,L,982
05,01,0600,484,50,H,1018
05,01,0600,431,141,H,1019
05,01,0600,154,213,H,1018
05,01,0600,652,238,H,1018
05,01,0600,375,505,H,1024
12,01,0600,402,55,L,1016
12,01,0600,446,104,L,1004
12,01,0600,131,76,L,1038
12,01,0600,295,123,L,1010
12,01,0600,774,152,L,1009
12,01,0600,22,257,L,999
12,01,0600,725,263,L,1011
12,01,0600,74,496,L,1010
12,01,0600,235,530,L,983
12,01,0600,231,287,H,1032
12,01,0600,372,285,H,1042
19,01,0600,463,74,L,980
19,01,0600,391,166,L,988
19,01,0600,627,143,L,1002
19,01,0600,331,222,L,996
19,01,0600,575,274,L,1001
19,01,0600,58,296,L,959
19,01,0600,465,463,L,1001
19,01,0600,758,71,H,1028
19,01,0600,228,146,H,1011
19,01,0600,454,328,H,1022
19,01,0600,775,457,H,1021
26,01,0600,287,131,L,965
26,01,0600,586,90,L,1007
26,01,0600,136,158,L,991
26,01,0600,213,219,L,964
26,01,0600,572,326,L,1025
26,01,0600,83,448,L,1006
26,01,0600,753,57,H,1023
26,01,0600,753,57,H,1011
26,01,0600,709,205,H,1021
26,01,0600,473,411,H,1037
01,01,0600,71,146,L,991
01,01,0600,428,244,L,986
01,01,0600,155,347,L,969
01,01,0600,236,340,L,973
01,01,0600,432,54,H,1030
01,01,0600,753,60,H,1032
01,01,0600,306,108,H,1021
01,01,0600,215,126,H,1026
01,01,0600,335,247,H,980
01,01,0600,473,421,H,1023
01,01,0600,616,407,H,1022
08,01,0600,289,93,L,1007
08,01,0600,657,153,L,1001
08,01,0600,168,156,L,998
08,01,0600,610,318,L,999
08,01,0600,130,342,L,965
08,01,0600,73,76,H,1020
08,01,0600,780,63,H,1027
08,01,0600,419,175,H,1046
08,01,0600,22,232,H,1022
08,01,0600,528,504,H,1023
15,01,0600,487,163,L,977
15,01,0600,235,202,L,1020
15,01,0600,568,313,L,1002
15,01,0600,66,456,L,1011
15,01,0600,351,414,L,1002
15,01,0600,265,463,L,1003
15,01,0600,758,36,H,1029
15,01,0600,396,106,H,997
15,01,0600,190,304,H,1028
15,01,0600,528,531,H,1025
22,01,0600,268,100,L,958
22,01,0600,119,157,L,980
22,01,0600,215,206,L,974
22,01,0600,777,219,L,1011
22,01,0600,100,436,L,975
22,01,0600,621,40,H,1040
22,01,0600,643,200,H,1039
22,01,0600,502,433,H,1037
29,01,0600,714,89,L,1026
29,01,0600,178,226,L,965
29,01,0600,790,172,L,1018
29,01,0600,405,335,L,1014
29,01,0600,181,480,L,1000
29,01,0600,665,530,L,1022
29,01,0600,589,117,H,1040
29,01,0600,746,59,H,1032
29,01,0600,612,178,H,1040
29,01,0600,325,401,H,1026
29,01,0600,35,523,H,1019
06,01,0600,296,65,L,1004
06,01,0600,539,85,L,1011
06,01,0600,101,123,L,995
06,01,0600,369,216,L,1004
06,01,0600,320,180,L,1002
06,01,0600,134,279,L,980
06,01,0600,98,411,L,971
06,01,0600,90,441,L,970
06,01,0600,446,71,H,1022
06,01,0600,744,95,H,1030
06,01,0600,203,142,H,1019
06,01,0600,424,177,H,1025
06,01,0600,441,414,H,1024
06,01,0600,526,501,H,1023
13,01,0600,389,115,L,990
13,01,0600,588,133,L,1007
13,01,0600,777,189,L,1007
13,01,0600,66,218,L,1006
13,01,0600,265,530,L,992
13,01,0600,372,440,L,1003
13,01,0600,682,60,H,1021
13,01,0600,666,112,H,1020
13,01,0600,173,191,H,1032
13,01,0600,539,274,H,1030
13,01,0600,279,290,H,1034
13,01,0600,501,411,H,1027
20,01,0600,621,46,L,1005
20,01,0600,487,169,L,1005
20,01,0600,427,142,L,1015
20,01,0600,265,212,L,971
20,01,0600,687,233,L,1011
20,01,0600,186,265,L,963
20,01,0600,652,364,L,1010
20,01,0600,2,440,L,978
20,01,0600,780,60,H,1025
20,01,0600,570,230,H,1036
27,01,0600,780,82,L,1009
27,01,0600,632,93,L,1014
27,01,0600,282,134,L,957
27,01,0600,501,153,L,1010
27,01,0600,233,205,L,964
27,01,0600,216,424,L,999
27,01,0600,520,271,H,1038
27,01,0600,66,438,H,1025
27,01,0600,542,518,H,1031
07,01,0600,350,38,L,1007
07,01,0600,102,101,L,999
07,01,0600,589,285,L,991
07,01,0600,148,372,L,956
07,01,0600,758,74,H,1031
07,01,0600,387,201,H,1031
07,01,0600,419,176,H,1021
07,01,0600,454,408,H,1026
14,01,0600,790,40,L,1011
14,01,0600,484,134,L,987
14,01,0600,106,187,L,1019
14,01,0600,616,441,L,1023
14,01,0600,323,468,L,996
14,01,0600,716,52,H,1025
14,01,0600,241,170,H,1042
14,01,0600,528,298,H,1021
14,01,0600,52,446,H,1022
14,01,0600,569,487,H,1026
21,01,0600,714,78,L,1019
21,01,0600,598,117,L,1024
21,01,0600,333,159,L,961
21,01,0600,279,166,L,962
21,01,0600,221,276,L,963
21,01,0600,759,251,L,1011
21,01,0600,264,358,L,965
21,01,0600,66,100,H,987
21,01,0600,159,128,H,995
21,01,0600,565,251,H,1038
21,01,0600,487,398,H,1034
28,01,0600,284,115,L,975
28,01,0600,783,156,L,1019
28,01,0600,211,235,L,966
28,01,0600,76,477,L,1000
28,01,0600,348,507,L,1006
28,01,0600,758,76,H,1027
28,01,0600,558,254,H,1041
04,01,0600,337,44,L,1002
04,01,0600,504,192,L,988
04,01,0600,349,241,L,984
04,01,0600,240,232,L,995
04,01,0600,40,194,L,987
04,01,0600,407,360,L,998
04,01,0600,65,467,L,990
04,01,0600,484,50,H,1021
04,01,0600,271,514,H,1024
11,01,0600,539,21,L,985
11,01,0600,131,63,L,1002
11,01,0600,786,155,L,1011
11,01,0600,172,241,L,1004
11,01,0600,578,381,L,1015
11,01,0600,668,515,L,1017
11,01,0600,250,530,L,978
11,01,0600,350,224,H,1045
11,01,0600,98,175,H,1021
11,01,0600,769,323,H,1024
11,01,0600,107,405,H,1025
18,01,0600,368,151,L,984
18,01,0600,449,131,L,978
18,01,0600,251,220,L,1006
18,01,0600,504,296,L,989
18,01,0600,68,306,L,965
18,01,0600,758,35,H,1030
18,01,0600,146,141,H,1009
18,01,0600,279,312,H,1016
18,01,0600,209,525,H,1023
18,01,0600,543,518,H,1022
25,01,0600,512,114,L,992
25,01,0600,253,216,L,963
25,01,0600,769,189,L,1017
25,01,0600,197,240,L,969
25,01,0600,651,278,L,1023
25,01,0600,397,68,H,1013
25,01,0600,756,41,H,1026
25,01,0600,215,99,H,989
25,01,0600,150,192,H,993
25,01,0600,22,457,H,1036
25,01,0600,578,465,H,1037
02,01,0600,592,106,L,1000
02,01,0600,31,210,L,985
02,01,0600,249,235,L,976
02,01,0600,360,273,L,972
02,01,0600,646,266,L,1015
02,01,0600,254,332,L,972
02,01,0600,388,337,L,979
02,01,0600,719,474,L,1018
02,01,0600,52,478,L,1011
02,01,0600,424,54,H,1031
02,01,0600,756,46,H,1028
02,01,0600,161,211,H,1012
02,01,0600,508,441,H,1027
09,01,0600,686,34,L,1009
09,01,0600,427,57,L,1006
09,01,0600,144,157,L,994
09,01,0600,132,292,L,974
09,01,0600,716,238,L,1007
09,01,0600,691,291,L,1006
09,01,0600,134,336,L,974
09,01,0600,183,365,L,968
09,01,0600,382,409,L,1015
09,01,0600,357,47,H,1006
09,01,0600,790,57,H,1024
09,01,0600,523,207,H,1040
09,01,0600,394,238,H,1042
09,01,0600,668,452,H,1023
16,01,0600,385,133,L,989
16,01,0600,512,93,L,982
16,01,0600,140,162,L,1016
16,01,0600,352,267,L,1000
16,01,0600,93,290,L,996
16,01,0600,566,314,L,1005
16,01,0600,320,446,L,990
16,01,0600,266,511,L,996
16,01,0600,783,60,H,1029
16,01,0600,428,184,H,1005
16,01,0600,543,265,H,1016
16,01,0600,514,374,H,1013
16,01,0600,739,496,H,1023
23,01,0600,369,68,L,972
23,01,0600,421,77,L,971
23,01,0600,129,218,L,974
23,01,0600,263,284,L,966
23,01,0600,541,516,L,1038
23,01,0600,650,20,H,1041
23,01,0600,259,59,H,965
23,01,0600,604,402,H,1037
23,01,0600,488,416,H,1039
30,01,0600,715,91,L,1032
30,01,0600,34,141,L,988
30,01,0600,196,225,L,969
30,01,0600,428,245,L,1016
30,01,0600,793,197,L,1012
30,01,0600,128,401,L,996
30,01,0600,308,476,L,1013
30,01,0600,746,59,H,1038
30,01,0600,418,147,H,1028
30,01,0600,618,191,H,1043
30,01,0600,621,409,H,1032
03,01,0600,616,13,L,1000
03,01,0600,358,249,L,973
03,01,0600,76,202,L,983
03,01,0600,463,229,L,975
03,01,0600,238,244,L,985
03,01,0600,484,46,H,1027
03,01,0600,772,90,H,1023
03,01,0600,738,197,H,1020
03,01,0600,619,463,H,1026
03,01,0600,511,453,H,1024
10,01,0600,372,46,L,1003
10,01,0600,599,44,L,1005
10,01,0600,780,24,L,1012
10,01,0600,766,197,L,1010
10,01,0600,134,254,L,982
10,01,0600,205,342,L,982
10,01,0600,575,419,L,1017
10,01,0600,428,408,L,1017
10,01,0600,671,534,L,1017
10,01,0600,561,197,H,1038
10,01,0600,350,210,H,1043
10,01,0600,725,386,H,1025
17,01,0600,395,160,L,982
17,01,0600,169,139,L,1012
17,01,0600,214,201,L,1018
17,01,0600,439,191,L,970
17,01,0600,33,191,L,1003
17,01,0600,138,304,L,1003
17,01,0600,729,187,H,1021
17,01,0600,422,358,H,981
17,01,0600,369,416,H,981
17,01,0600,68,525,H,1030
24,01,0600,790,76,L,1011
24,01,0600,361,180,L,972
24,01,0600,153,203,L,979
24,01,0600,223,198,L,973
24,01,0600,490,410,L,1040
24,01,0600,507,508,L,1031
24,01,0600,653,22,H,1035
24,01,0600,636,237,H,1033
31,01,0600,703,85,L,1031
31,01,0600,109,191,L,973
31,01,0600,320,224,L,966
31,01,0600,785,186,L,1014
31,01,0600,238,203,L,970
31,01,0600,93,446,L,995
31,01,0600,747,52,H,1037
31,01,0600,616,189,H,1039
31,01,0600,504,405,H,1037
05,01,1200,654,63,L,1003
05,01,1200,515,120,L,1003
05,01,1200,99,142,L,996
05,01,1200,25,175,L,998
05,01,1200,215,200,L,1002
05,01,1200,249,205,L,1000
05,01,1200,350,222,L,992
05,01,1200,467,260,L,993
05,01,1200,546,341,L,1001
05,01,1200,161,397,L,980
05,01,1200,484,46,H,1019
05,01,1200,790,65,H,1017
05,01,1200,159,208,H,1020
05,01,1200,790,300,H,1021
05,01,1200,391,493,H,1025
05,01,1200,95,530,H,1013
12,01,1200,315,109,L,1005
12,01,1200,498,117,L,1002
12,01,1200,769,145,L,1006
12,01,1200,40,226,L,999
12,01,1200,712,284,L,1010
12,01,1200,324,495,L,1002
12,01,1200,83,522,L,1010
12,01,1200,416,60,H,1019
12,01,1200,157,223,H,1032
12,01,1200,375,296,H,1040
19,01,1200,461,48,L,983
19,01,1200,132,86,L,986
19,01,1200,393,157,L,995
19,01,1200,642,123,L,1002
19,01,1200,293,162,L,999
19,01,1200,622,192,L,1002
19,01,1200,200,261,L,970
19,01,1200,607,284,L,1005
19,01,1200,54,318,L,970
19,01,1200,481,441,L,1003
19,01,1200,773,74,H,1023
19,01,1200,232,146,H,1005
19,01,1200,487,298,H,1025
19,01,1200,785,436,H,1020
26,01,1200,619,93,L,1010
26,01,1200,789,128,L,1009
26,01,1200,132,163,L,990
26,01,1200,218,215,L,963
26,01,1200,443,187,L,997
26,01,1200,790,392,L,1023
26,01,1200,144,435,L,1004
26,01,1200,520,503,L,1027
26,01,1200,755,49,H,1020
26,01,1200,275,102,H,963
26,01,1200,610,248,H,1029
26,01,1200,467,413,H,1037
01,01,1200,74,147,L,993
01,01,1200,577,180,L,1004
01,01,1200,20,155,L,995
01,01,1200,90,233,L,992
01,01,1200,432,235,L,991
01,01,1200,606,274,L,1013
01,01,1200,337,241,L,982
01,01,1200,561,313,L,1013
01,01,1200,177,363,L,971
01,01,1200,424,57,H,1032
01,01,1200,764,76,H,1028
01,01,1200,214,117,H,1025
01,01,1200,222,334,H,971
01,01,1200,476,449,H,1024
08,01,1200,755,2,L,1010
08,01,1200,657,144,L,1006
08,01,1200,172,138,L,1004
08,01,1200,615,326,L,999
08,01,1200,790,330,L,1020
08,01,1200,147,339,L,966
08,01,1200,68,464,L,976
08,01,1200,528,533,L,1018
08,01,1200,795,66,H,1024
08,01,1200,415,172,H,1043
08,01,1200,335,530,H,1022
15,01,1200,492,152,L,977
15,01,1200,237,219,L,1017
15,01,1200,15,182,L,993
15,01,1200,256,462,L,1002
15,01,1200,707,517,L,1020
15,01,1200,762,48,H,1023
15,01,1200,163,197,H,1032
15,01,1200,186,291,H,1026
22,01,1200,266,107,L,962
22,01,1200,372,166,L,952
22,01,1200,782,205,L,1011
22,01,1200,109,153,L,979
22,01,1200,220,195,L,975
22,01,1200,169,389,L,976
22,01,1200,142,413,L,971
22,01,1200,619,35,H,1042
22,01,1200,574,280,H,1033
22,01,1200,431,492,H,1038
29,01,1200,218,209,L,970
29,01,1200,175,246,L,969
29,01,1200,411,319,L,1015
29,01,1200,226,482,L,1001
29,01,1200,593,114,H,1041
06,01,1200,93,95,L,993
06,01,1200,309,59,L,1007
06,01,1200,424,175,L,1025
06,01,1200,323,167,L,1007
06,01,1200,375,212,L,1009
06,01,1200,120,265,L,983
06,01,1200,624,323,L,994
06,01,1200,108,382,L,969
06,01,1200,755,63,H,1026
06,01,1200,219,142,H,1020
06,01,1200,432,419,H,1026
06,01,1200,616,507,H,1021
13,01,1200,605,130,L,1010
13,01,1200,786,192,L,1007
13,01,1200,372,426,L,1006
13,01,1200,286,533,L,992
13,01,1200,700,36,H,1022
13,01,1200,512,298,H,1028
13,01,1200,249,304,H,1034
13,01,1200,11,416,H,1026
20,01,1200,594,10,L,1006
20,01,1200,517,153,L,1006
20,01,1200,293,183,L,970
20,01,1200,183,270,L,961
20,01,1200,199,290,L,963
20,01,1200,682,331,L,1009
20,01,1200,63,438,L,972
20,01,1200,790,60,H,1023
20,01,1200,430,142,H,1019
20,01,1200,550,255,H,1034
20,01,1200,383,534,H,1029
27,01,1200,366,119,L,978
27,01,1200,274,134,L,959
27,01,1200,227,205,L,970
27,01,1200,687,219,L,1019
27,01,1200,747,326,L,1026
27,01,1200,192,405,L,999
27,01,1200,277,501,L,1003
27,01,1200,534,260,H,1038
27,01,1200,603,248,H,1032
27,01,1200,671,427,H,1029
27,01,1200,74,449,H,1024
07,01,1200,369,27,L,1004
07,01,1200,15,233,L,1025
07,01,1200,426,169,L,1026
07,01,1200,602,310,L,994
07,01,1200,142,353,L,955
07,01,1200,729,529,L,1015
07,01,1200,761,54,H,1026
07,01,1200,349,213,H,1033
14,01,1200,458,88,L,987
14,01,1200,496,132,L,987
14,01,1200,400,187,L,990
14,01,1200,758,199,L,1013
14,01,1200,328,452,L,1001
14,01,1200,144,86,H,1023
14,01,1200,243,175,H,1041
14,01,1200,668,466,H,1027
14,01,1200,55,498,H,1022
21,01,1200,765,15,L,1015
21,01,1200,312,131,L,959
21,01,1200,279,166,L,963
21,01,1200,99,169,L,984
21,01,1200,784,216,L,1010
21,01,1200,245,256,L,962
21,01,1200,300,326,L,957
21,01,1200,2,465,L,996
21,01,1200,790,56,H,1023
21,01,1200,568,254,H,1038
21,01,1200,543,284,H,1037
21,01,1200,468,417,H,1037
28,01,1200,317,27,L,976
28,01,1200,287,105,L,977
28,01,1200,317,167,L,969
28,01,1200,217,219,L,967
28,01,1200,363,454,L,1008
28,01,1200,96,477,L,997
28,01,1200,520,523,L,1022
28,01,1200,719,67,H,1025
28,01,1200,127,261,H,981
28,01,1200,553,207,H,1038
28,01,1200,567,290,H,1039
04,01,1200,347,21,L,994
04,01,1200,520,186,L,990
04,01,1200,353,238,L,986
04,01,1200,252,142,L,998
04,01,1200,41,202,L,986
04,01,1200,424,342,L,991
04,01,1200,79,440,L,986
04,01,1200,686,526,L,1016
04,01,1200,460,60,H,1021
04,01,1200,795,360,H,1022
04,01,1200,290,512,H,1025
04,01,1200,485,535,H,1020
04,01,1200,586,531,H,1021
11,01,1200,553,8,L,985
11,01,1200,331,43,L,1011
11,01,1200,775,126,L,1010
11,01,1200,178,238,L,1012
11,01,1200,8,334,L,989
11,01,1200,621,331,L,1013
11,01,1200,780,392,L,1019
11,01,1200,243,526,L,978
11,01,1200,736,30,H,1022
11,01,1200,107,170,H,1026
11,01,1200,372,233,H,1046
18,01,1200,139,100,L,1002
